INDEX,PLAYER_ID,PLAYER_NAME,R_PPG,R_APG,R_RPG,R_SPG,R_BPG,R_FG,R_eFG,R_TS,P_PPG,P_APG,P_RPG,P_SPG,P_BPG,P_FG,P_eFG,P_TS
4292,1714,Robert Traylor,4.8,0.7,3.7,0.6,0.7,0.474,0.475,0.502,3.0,0.5,3.2,0.5,0.6,0.459,0.459,0.475
4293,718,Gary Trent,8.9,1.0,4.7,0.5,0.4,0.498,0.499,0.53,3.1,0.3,1.5,0.1,0.0,0.398,0.398,0.433
4294,1629018,Gary Trent Jr.,14.6,1.4,2.4,1.2,0.2,0.418,0.519,0.547,12.7,1.0,1.8,0.9,0.3,0.37,0.461,0.506
4295,2244,Jeff Trepagnier,2.8,0.7,1.4,0.6,0.1,0.337,0.366,0.401,0,0,0,0,0,0,0,0
4296,78651,John Tresvant,9.6,1.5,6.6,0.0,0.0,0.452,0.452,0.505,6.8,1.1,6.2,0,0,0.414,0.414,0.468
4297,1629019,Allonzo Trier,9.7,1.7,2.6,0.4,0.2,0.454,0.51,0.574,0,0,0,0,0,0,0,0
4298,78368,Dick Triptow,5.7,1.6,0.0,0.0,0.0,0.275,0.275,0.346,0,0,0,0,0,0,0,0
4299,78369,Kelly Tripucka,17.2,3.0,3.8,1.0,0.2,0.473,0.482,0.552,15.6,2.3,3.7,0.9,0.2,0.462,0.462,0.534
4300,2456,Cezary Trybanski,0.6,0.0,0.6,0.1,0.3,0.179,0.179,0.234,0,0,0,0,0,0,0,0
4301,2054,Jake Tsakalidis,4.5,0.3,3.8,0.2,0.7,0.485,0.485,0.527,2.9,0.2,4.3,0.1,0.8,0.462,0.462,0.506
4302,78370,John Tschogl,2.5,0.6,1.8,0.4,0.4,0.356,0.356,0.371,3.3,0.3,1.3,0,0,0.625,0.625,0
4303,78371,Lou Tsioropoulos,5.8,1.1,4.8,0.0,0.0,0.315,0.315,0.375,6.3,1.3,5.8,0,0,0.294,0.294,0.353
4304,2401,Nikoloz Tskitishvili,2.6,0.6,1.7,0.2,0.3,0.305,0.336,0.372,0.2,0.5,0.2,0,0,0.0,0.0,0.129
4305,78372,Al Tucker,9.1,0.9,4.7,0.0,0.0,0.457,0.457,0.495,1.0,0,0,0,0,1.0,1.0,0
4306,201169,Alando Tucker,4.0,0.3,0.9,0.1,0.0,0.425,0.45,0.51,0,0,0,0,0,0,0,0
4307,141,Anthony Tucker,3.9,1.1,2.7,0.7,0.2,0.457,0.457,0.493,0,0,0,0,0,0,0,0
4308,78374,Jim Tucker,4.1,0.5,3.5,0.0,0.0,0.349,0.349,0.404,3.7,0.2,2.7,0,0,0.344,0.344,0.409
4309,200782,P.J. Tucker,6.6,1.4,5.4,1.1,0.3,0.423,0.509,0.536,7.0,1.4,5.9,1.0,0.4,0.433,0.561,0.574
4310,1629730,Rayjon Tucker,3.1,0.7,1.1,0.2,0.0,0.519,0.601,0.666,0.7,0,0.3,0,0,0.375,0.438,0.45
4311,78375,Trent Tucker,8.2,2.0,2.0,0.9,0.1,0.461,0.512,0.528,5.5,1.5,1.4,0.7,0.1,0.449,0.528,0.543
4312,101142,Ronny Turiaf,4.6,1.3,3.7,0.4,1.2,0.534,0.534,0.567,2.7,0.2,2.0,0.1,0.8,0.495,0.495,0.531
4313,1726,Mirsad Turkcan,1.9,0.3,1.9,0.2,0.1,0.368,0.368,0.397,2.0,0,1.0,0,0,0.2,0.2,0.34
4314,2045,Hedo Turkoglu,11.0,2.9,4.0,0.8,0.3,0.428,0.498,0.541,9.7,2.6,3.8,0.7,0.3,0.403,0.456,0.501
4315,78377,Andre Turner,4.4,3.1,1.5,0.8,0.0,0.416,0.425,0.468,7.2,4.4,1.6,1.4,0,0.438,0.469,0.527
4316,78385,Bill Turner,5.6,0.6,3.5,0.0,0.0,0.408,0.408,0.465,4.4,0.7,2.8,0,0,0.425,0.425,0.477
4317,78378,Elston Turner,4.7,1.8,2.7,0.9,0.1,0.432,0.433,0.459,5.1,2.0,3.0,0.8,0.0,0.485,0.492,0.508
4318,202323,Evan Turner,10.1,3.5,4.7,0.8,0.2,0.433,0.455,0.493,7.3,2.6,5.0,0.7,0.3,0.372,0.394,0.441
4319,78379,Henry Turner,3.4,0.4,1.2,0.4,0.1,0.453,0.458,0.502,0,0,0,0,0,0,0,0
4320,78380,Jack Turner,4.3,1.2,2.4,0.0,0.0,0.36,0.36,0.413,2.5,1.0,2.0,0,0,0.333,0.333,0.342
4321,78382,Jack Turner,4.8,1.0,2.0,0.0,0.0,0.38,0.38,0.418,0,0,0,0,0,0,0,0
4322,78381,Jeff Turner,6.0,1.0,3.3,0.4,0.1,0.467,0.478,0.512,2.3,0.7,1.3,0.2,0.1,0.417,0.531,0.558
4323,1819,John Turner,2.8,0.3,1.9,0.1,0.1,0.439,0.439,0.472,0,0,0,0,0,0,0,0
4324,1626167,Myles Turner,13.4,1.2,6.8,0.7,2.3,0.498,0.546,0.586,11.7,0.7,6.8,0.5,2.1,0.5,0.53,0.55
4325,1943,Wayne Turner,1.3,1.7,1.0,0.0,0.0,0.167,0.167,0.231,0,0,0,0,0,0,0,0
4326,78386,Mel Turpin,8.5,0.5,4.6,0.4,1.0,0.516,0.516,0.552,3.0,0.2,1.3,0.5,0.5,0.536,0.536,0.554
4327,78387,Dave Twardzik,9.5,3.4,2.2,1.4,0.1,0.552,0.553,0.64,8.6,2.5,1.6,1.2,0.1,0.552,0.552,0.63
4328,78388,Jack Twyman,19.2,2.3,6.6,0.0,0.0,0.45,0.45,0.502,18.3,1.8,7.5,0,0,0.441,0.441,0.496
4329,189,B.J. Tyler,3.5,3.2,1.1,0.7,0.0,0.381,0.423,0.462,0,0,0,0,0,0,0,0
4330,202719,Jeremy Tyler,3.2,0.2,2.3,0.2,0.4,0.445,0.445,0.468,0,0,0,0,0,0,0,0
4331,78390,Terry Tyler,10.2,1.2,5.4,0.9,1.5,0.484,0.485,0.512,9.0,0.5,3.2,0.5,0.6,0.455,0.455,0.505
4332,78391,Charlie Tyra,8.9,0.9,7.4,0.0,0.0,0.387,0.387,0.433,15.0,0.5,15.5,0,0,0.429,0.429,0.469
4333,202775,Edwin Ubiles,3.5,0.2,2.5,0.2,0.2,0.278,0.306,0.362,0,0,0,0,0,0,0,0
4334,202327,Ekpe Udoh,3.8,0.7,3.0,0.5,1.2,0.449,0.449,0.503,0.8,0.1,0.8,0.1,0.2,0.429,0.429,0.381
4335,2137,Ime Udoka,5.2,1.0,2.9,0.7,0.2,0.417,0.492,0.515,5.0,1.0,3.3,0.7,0.1,0.44,0.533,0.54
4336,2757,Beno Udrih,8.0,3.5,2.0,0.7,0.1,0.46,0.499,0.535,4.5,1.2,1.0,0.3,0.0,0.388,0.429,0.468
4337,101146,Roko Ukic,4.0,1.9,0.9,0.4,0.0,0.387,0.407,0.443,0,0,0,0,0,0,0,0
4338,1627755,Tyler Ulis,7.5,4.0,1.7,0.9,0.1,0.403,0.435,0.469,0,0,0,0,0,0,0,0
4339,1630649,Stanley Umude,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.532,0,0,0,0,0,0,0,0
4340,78392,Wes Unseld,10.8,3.9,14.0,1.1,0.6,0.509,0.509,0.537,10.6,3.8,14.9,0.8,0.7,0.493,0.493,0.521
4341,78393,Hal Uplinger,3.7,1.1,1.3,0.0,0.0,0.351,0.351,0.415,0,0,0,0,0,0,0,0
4342,78394,Kelvin Upshaw,5.4,2.2,1.2,0.7,0.1,0.454,0.465,0.499,3.3,1.7,0.7,0.3,0,0.417,0.417,0
4343,1627784,Jarrod Uthoff,3.4,0.4,1.5,0.2,0.2,0.405,0.466,0.495,0,0,0,0,0,0,0,0
4344,202386,Ben Uzoh,4.1,2.4,2.5,0.6,0.2,0.383,0.387,0.417,0,0,0,0,0,0,0,0
4345,201987,Robert Vaden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4346,202685,Jonas Valanciunas,13.6,1.3,9.5,0.4,1.0,0.561,0.574,0.615,13.1,1.1,10.0,0.5,0.9,0.549,0.554,0.592
4347,78395,Darnell Valentine,8.6,4.9,2.1,1.4,0.1,0.435,0.44,0.505,12.0,6.8,1.9,1.5,0.2,0.46,0.462,0.54
4348,1627756,Denzel Valentine,6.7,1.7,3.2,0.6,0.1,0.393,0.499,0.508,1.2,0.5,2.0,0,0.2,0.333,0.417,0
4349,78396,Ron Valentine,3.5,0.3,1.2,0.3,0.2,0.378,0.383,0.395,0,0,0,0,0,0,0,0
4350,78397,John Vallely,3.5,0.8,0.7,0.0,0.0,0.386,0.386,0.431,0,0,0,0,0,0,0,0
